,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,system_date,runtime
0,XGBoost_grid_1_AutoML_20190425_061247_model_5,23382607125691124,152913724.45170227,23382607125691124,90137824.6296496,0.31093634277167725,2019-04-25,2000
1,XGBoost_grid_1_AutoML_20190425_054218_model_6,23445318879446148,153118643.14787453,23445318879446148,90243396.85121292,0.3132719590137167,2019-04-25,2000
2,GBM_1_AutoML_20190425_061247,23462039486604652,153173233.58408496,23462039486604652,93377560.8898866,0.3213873017471891,2019-04-25,2000
3,XGBoost_grid_1_AutoML_20190425_034434_model_5,23532474855228316,153402981.89809844,23532474855228316,90918845.49757412,0.31368784715308506,2019-04-25,2000
4,XGBoost_grid_1_AutoML_20190425_061247_model_2,23570310854698670,153526254.61040425,23570310854698670,90763783.90943396,0.3132373485153393,2019-04-25,2000
5,XGBoost_grid_1_AutoML_20190425_054218_model_7,23631901372124396,153726710.01528782,23631901372124396,90594965.24097034,0.3132788719151261,2019-04-25,2000
6,XGBoost_grid_1_AutoML_20190425_040839_model_7,23753676258354668,154122276.9697965,23753676258354668,90217458.0754717,0.3138922316740469,2019-04-25,2000
7,GBM_1_AutoML_20190425_031629,23775031990128900,154191543.18615824,23775031990128900,93754997.58951291,0.32221306437158137,2019-04-25,2000
8,GBM_grid_1_AutoML_20190425_034434_model_4,23797462236776000,154264261.04829335,23797462236776000,91123347.76293024,0.3213943308398986,2019-04-25,2000
9,XGBoost_grid_1_AutoML_20190425_044008_model_1,23925914531043820,154680039.21335104,23925914531043820,92270864.3180593,0.31579192773363285,2019-04-25,2000
10,XGBoost_grid_1_AutoML_20190425_061247_model_7,23944030215901548,154738586.70642415,23944030215901548,90765888.08086254,0.31261563794661884,2019-04-25,2000
11,XGBoost_1_AutoML_20190425_044008,23946398297111744,154746238.3940616,23946398297111744,91989347.02803236,0.31609758371780683,2019-04-25,2000
12,GBM_1_AutoML_20190425_044008,23951138348651148,154761553.19927216,23951138348651148,94147137.29261746,0.3226893042425608,2019-04-25,2000
13,XGBoost_1_AutoML_20190425_054218,23969688282623550,154821472.29187414,23969688282623550,91696615.28140162,0.31431185942383605,2019-04-25,2000
14,XGBoost_1_AutoML_20190425_031629,24001794278085524,154925124.74768424,24001794278085524,92343890.40053909,0.31788141703632194,2019-04-25,2000
15,XGBoost_grid_1_AutoML_20190425_061247_model_6,24041262647930840,155052451.27998087,24041262647930840,90981512.00107816,0.3170216271375305,2019-04-25,2000
16,XGBoost_grid_1_AutoML_20190425_044008_model_4,24053142572982650,155090755.92369342,24053142572982650,90448521.87601078,0.3143630419240039,2019-04-25,2000
17,XGBoost_grid_1_AutoML_20190425_040839_model_5,24079401334470970,155175388.9457699,24079401334470970,91466406.97088951,0.3183777785569329,2019-04-25,2000
18,XGBoost_grid_1_AutoML_20190425_040839_model_6,24116234739201120,155294026.73380944,24116234739201120,92025367.41509436,0.32332194532648395,2019-04-25,2000
19,GBM_grid_1_AutoML_20190425_044008_model_7,24118635149705964,155301755.1404554,24118635149705964,92037036.8368952,0.3174731125010885,2019-04-25,2000
20,XGBoost_grid_1_AutoML_20190425_061247_model_4,24137593663524076,155362780.81807134,24137593663524076,91066926.5407008,0.3224458603880536,2019-04-25,2000
21,XGBoost_grid_1_AutoML_20190425_054218_model_9,24147056604861600,155393232.17200163,24147056604861600,95790299.67008086,0.3250797903252278,2019-04-25,2000
22,XGBoost_1_AutoML_20190425_040839,24157122691099784,155425617.87266532,24157122691099784,91821862.85121292,0.3150432430675297,2019-04-25,2000
23,XGBoost_2_AutoML_20190425_061247,24161773201787264,155440577.71954936,24161773201787264,91388438.44851752,0.3145175805448137,2019-04-25,2000
24,XGBoost_1_AutoML_20190425_061247,24170253438951900,155467853.39404383,24170253438951900,92005256.65822102,0.3162105188161639,2019-04-25,2000
25,GBM_1_AutoML_20190425_050348,24182648294537904,155507711.36679333,24182648294537904,94436795.16570018,0.32202214049841665,2019-04-25,2000
26,XGBoost_grid_1_AutoML_20190425_054218_model_8,24184103970355136,155512391.6938941,24184103970355136,92384391.59299192,0.3249772087386242,2019-04-25,2000
27,GBM_grid_1_AutoML_20190425_050348_model_17,24187064791183290,155521910.96814394,24187064791183290,91652633.25204216,0.3233175462053033,2019-04-25,2000
28,XGBoost_grid_1_AutoML_20190425_054218_model_12,24193380889541324,155542215.7793225,24193380889541324,91147678.06954178,0.3152453240592887,2019-04-25,2000
29,XGBoost_grid_1_AutoML_20190425_050348_model_5,24195308463742336,155548411.961493,24195308463742336,91106878.77088948,0.3204509912303415,2019-04-25,2000
30,XGBoost_grid_1_AutoML_20190425_054218_model_13,24229700385332756,155658923.24352226,24229700385332756,91587259.65768194,0.3156952772508129,2019-04-25,2000
31,XGBoost_grid_1_AutoML_20190425_034434_model_3,24241136393363876,155695653.09720075,24241136393363876,92258282.48571429,0.3197195999672125,2019-04-25,2000
32,GBM_1_AutoML_20190425_034434,24265166305648100,155772803.48523006,24265166305648100,94068502.12981234,0.3203401257870397,2019-04-25,2000
33,XGBoost_grid_1_AutoML_20190425_061247_model_8,24275988815999910,155807537.73806942,24275988815999910,91467034.95687331,0.3261393248024675,2019-04-25,2000
34,XGBoost_1_AutoML_20190425_034434,24287590296554900,155844763.45567372,24287590296554900,92332236.71374664,0.3172798328283274,2019-04-25,2000
35,XGBoost_2_AutoML_20190425_054218,24305849360953424,155903333.38627952,24305849360953424,91835251.77574123,0.3165004756923561,2019-04-25,2000
36,XGBoost_1_AutoML_20190425_050348,24320881824039604,155951536.77998692,24320881824039604,92148659.01725069,0.3174144657664537,2019-04-25,2000
37,XGBoost_2_AutoML_20190425_034434,24352497787983850,156052868.56698233,24352497787983850,91627074.0787062,0.3171568759489795,2019-04-25,2000
38,XGBoost_grid_1_AutoML_20190425_050348_model_4,24358433461258304,156071885.55681098,24358433461258304,91508300.97412398,0.3231521205863168,2019-04-25,2000
39,XGBoost_grid_1_AutoML_20190425_034434_model_1,24365453118266668,156094372.47468808,24365453118266668,91210890.13638814,0.3172410806480649,2019-04-25,2000
40,GBM_grid_1_AutoML_20190425_040839_model_19,24368569718204916,156104355.21856818,24368569718204916,92769379.16862416,0.32406667516899634,2019-04-25,2000
41,XGBoost_grid_1_AutoML_20190425_040839_model_1,24370048037247824,156109090.18134665,24370048037247824,91737677.14231806,0.3133531767919161,2019-04-25,2000
42,XGBoost_grid_1_AutoML_20190425_050348_model_1,24383442307897100,156151984.64283794,24383442307897100,92240310.27331536,0.32526614982937224,2019-04-25,2000
43,XGBoost_grid_1_AutoML_20190425_061247_model_10,24422235821912576,156276152.44147962,24422235821912576,91586786.40592992,0.31669626469118684,2019-04-25,2000
44,XGBoost_grid_1_AutoML_20190425_061247_model_14,24430865696372748,156303760.97961542,24430865696372748,91903470.31051213,0.31562717185645484,2019-04-25,2000
45,XGBoost_grid_1_AutoML_20190425_044008_model_3,24443243232672484,156343350.45876586,24443243232672484,91686773.3342318,0.31285250010586896,2019-04-25,2000
46,GBM_grid_1_AutoML_20190425_050348_model_29,24461560451120692,156401919.58898935,24461560451120692,93003562.50588018,0.3229609297601683,2019-04-25,2000
47,XGBoost_grid_1_AutoML_20190425_054218_model_1,24471433791647096,156433480.40508175,24471433791647096,91621873.0754717,0.3145404204378447,2019-04-25,2000
48,GBM_1_AutoML_20190425_054218,24499722694863076,156523872.60371205,24499722694863076,94965404.70660023,0.324444606579866,2019-04-25,2000
49,GBM_grid_1_AutoML_20190425_061247_model_2,24501388411433170,156529193.47978884,24501388411433170,92556750.74719696,0.3261963868721787,2019-04-25,2000
50,GBM_grid_1_AutoML_20190425_054218_model_27,24519143338635150,156585897.63652137,24519143338635150,93662474.58415064,0.3202025514783105,2019-04-25,2000
51,XGBoost_grid_1_AutoML_20190425_034434_model_4,24539476828015330,156650811.76941067,24539476828015330,91960965.7245283,0.3154096132962391,2019-04-25,2000
52,GBM_1_AutoML_20190425_040839,24560988968103064,156719459.44299024,24560988968103064,94621915.87210783,0.3240441771394711,2019-04-25,2000
53,XGBoost_grid_1_AutoML_20190425_031629_model_1,24562662779718170,156724799.5044759,24562662779718170,91800211.04366577,0.3147064273637741,2019-04-25,2000
54,GBM_4_AutoML_20190425_034434,24578164892836296,156774248.18137798,24578164892836296,94318915.93242778,0.3218864079038672,2019-04-25,2000
55,GBM_grid_1_AutoML_20190425_054218_model_7,24598524339483924,156839167.10912463,24598524339483924,93062901.76867206,0.3276459157793103,2019-04-25,2000
56,XGBoost_2_AutoML_20190425_040839,24618845024912124,156903935.65781617,24618845024912124,92058031.92075472,0.31652564493015434,2019-04-25,2000
57,XGBoost_2_AutoML_20190425_031629,24645684223842348,156989439.84817052,24645684223842348,91820134.7929919,0.3169278162171524,2019-04-25,2000
58,GBM_grid_1_AutoML_20190425_050348_model_7,24647796326124716,156996166.59691,24647796326124716,92771396.19765341,0.3304953130707073,2019-04-25,2000
59,XGBoost_grid_1_AutoML_20190425_050348_model_10,24655621178085900,157021085.13854405,24655621178085900,92154032.70350404,0.3194051418262593,2019-04-25,2000
60,GBM_grid_1_AutoML_20190425_044008_model_12,24661781197937560,157040699.176798,24661781197937560,93083232.78456748,0.32074512379087217,2019-04-25,2000
61,GBM_grid_1_AutoML_20190425_040839_model_18,24668240855717610,157061264.6571955,24668240855717610,93004531.06661148,0.33620035578448737,2019-04-25,2000
62,XGBoost_2_AutoML_20190425_050348,24693426194483656,157141421.00185952,24693426194483656,91818408.38221024,0.31705066429884,2019-04-25,2000
63,GBM_grid_1_AutoML_20190425_040839_model_22,24696475317959650,157151122.54756454,24696475317959650,92942763.74955793,0.3231777446607411,2019-04-25,2000
64,XGBoost_grid_1_AutoML_20190425_054218_model_10,24715637698992400,157212078.73122343,24715637698992400,92288475.3212938,0.3245510366207866,2019-04-25,2000
65,XGBoost_grid_1_AutoML_20190425_061247_model_12,24752583450867124,157329537.75711387,24752583450867124,92447104.55633424,0.32885667129213303,2019-04-25,2000
66,XGBoost_grid_1_AutoML_20190425_031629_model_2,24760693062879860,157355308.34032848,24760693062879860,91812991.18167116,0.3256404216870056,2019-04-25,2000
67,GBM_4_AutoML_20190425_050348,24771929265689876,157391007.57568672,24771929265689876,94649325.88833241,0.3234662168656697,2019-04-25,2000
68,XGBoost_grid_1_AutoML_20190425_050348_model_2,24773980369287216,157397523.3899416,24773980369287216,95742887.71967655,0.3250334268081574,2019-04-25,2000
69,GBM_grid_1_AutoML_20190425_040839_model_4,24775528053031364,157402439.79376993,24775528053031364,93338351.42101955,0.3240377717405764,2019-04-25,2000
70,GBM_grid_1_AutoML_20190425_044008_model_23,24781897886062524,157422672.7192196,24781897886062524,93605582.96183126,0.3242850682492324,2019-04-25,2000
71,XGBoost_2_AutoML_20190425_044008,24794121219816068,157461491.228224,24794121219816068,91926429.24366575,0.3166498684472247,2019-04-25,2000
72,GBM_4_AutoML_20190425_054218,24803234736308964,157490427.44341308,24803234736308964,94058658.2548442,0.3216304365001136,2019-04-25,2000
73,GBM_4_AutoML_20190425_031629,24814875998401084,157527381.74171844,24814875998401084,94635071.73507772,0.32495766337992205,2019-04-25,2000
74,XRT_1_AutoML_20190425_031629,24821773831486484,157549274.2969211,24821773831486484,94415308.89892767,0.3253525542337009,2019-04-25,2000
75,XGBoost_grid_1_AutoML_20190425_061247_model_3,24825256448338740,157560326.37799004,24825256448338740,96545592.0684636,0.3288555871025851,2019-04-25,2000
76,XGBoost_grid_1_AutoML_20190425_050348_model_3,24834461101080704,157589533.6025864,24834461101080704,93072059.56981131,0.3251547812997941,2019-04-25,2000
77,GBM_grid_1_AutoML_20190425_054218_model_16,24843380773548280,157617831.3946372,24843380773548280,93382816.12802055,0.3194112878310689,2019-04-25,2000
78,DRF_1_AutoML_20190425_040839,24849988548945270,157638791.38380018,24849988548945270,94040413.48057562,0.3229163739400784,2019-04-25,2000
79,XRT_1_AutoML_20190425_050348,24889262951266228,157763313.07140526,24889262951266228,93958379.68338697,0.3237020234978323,2019-04-25,2000
80,GBM_grid_1_AutoML_20190425_054218_model_17,24909413301611610,157827162.7496725,24909413301611610,94007426.47972149,0.322220854471634,2019-04-25,2000
81,XGBoost_grid_1_AutoML_20190425_050348_model_6,24919954342914764,157860553.4733575,24919954342914764,95994232.2161725,0.325870378298178,2019-04-25,2000
